Year,Actual_Population,Predicted_Population,Predicted_Population_Change,Absolute_Error,Percentage_Error
2015,1328024498.0,1328459323.5467489,16182132.546748877,434825.5467488766,0.032742283550019013
2016,1343944296.0,1343797334.2646036,15772836.264603734,146961.7353963852,0.010935106152374726
2017,1359657400.0,1359620589.397564,15676293.397563815,36810.602436065674,0.002707343955621885
2018,1374659064.0,1374765767.6654587,15108367.66545856,106703.6654586792,0.0077621912409460685
2019,1389030312.0,1389494479.4175682,14835415.417568088,464167.4175682068,0.033416651426409386
2020,1402617695.0,1403469760.2477555,14439448.247755408,852065.2477555275,0.06074821747885674
2021,1414203896.0,1416960097.303633,14342402.303632975,2756201.3036329746,0.1948941953440195
2022,1425423212.0,1428020140.877872,13816244.877871871,2596928.87787199,0.18218651527557628
2023,1438069596.0,1439162138.3778763,13738926.377876163,1092542.3778762817,0.07597284449342337
2024,1450935791.0,1452556548.5568452,14486952.556845188,1620757.5568451881,0.11170429228492221
