Period,Start_Year,End_Year,MAE,RMSE,R2,Mean_Percentage_Error
2010_2020,2010,2020,491072.54656512087,640566.2101664005,0.9998388700618929,0.036332565413223654
2015_2024,2015,2024,1010796.4331590176,1390182.268870336,0.9987177647832431,0.0713069641202169
