Period,MAE,RMSE,Mean_Percentage_Error,Maximum_Absolute_Error
2010-2020,491072.54656516423,640566.2101664074,0.03633256541322706,1405802.4418056011
2015-2024,1010796.4331590415,1390182.2688703379,0.07130696412021864,2756201.3036329746
