Model,MAE,RMSE,R2,Mean_Percentage_Error
Linear Regression,1290531.5262595746,1845974.080071976,0.9961058211878278,0.13977323586528326
Gradient Boosting,1674108.9724158575,2201832.094675803,0.9941960593836043,0.15586559561921107
Random Forest,1909802.697533338,2398934.7746374765,0.9935632454060357,0.18043864777878205
