Feature_Set,Model,Features,MAE,RMSE,R2
Lean Engineered,Linear Regression,30,567584.7879591298,1218562.0526131424,0.9948143514028084
Baseline,Linear Regression,17,702205.983963108,1159151.5225034968,0.9975266976506291
Full Engineered,Linear Regression,44,747025.8220221233,1438102.188886184,0.9950005772769984
Lean Engineered,Gradient Boosting,30,1651172.4551070787,2177952.762141695,0.9946435326424282
Baseline,Gradient Boosting,17,1692334.36776006,2218810.2025574693,0.994260083467252
Full Engineered,Gradient Boosting,44,1721821.207179594,2238670.753185023,0.9944136852848345
Lean Engineered,Random Forest,30,1906741.5254666663,2396973.2979903976,0.9937341573244638
Baseline,Random Forest,17,1936106.039866669,2419471.6674763733,0.9934711270590416
Full Engineered,Random Forest,44,2011036.9050666615,2491885.445355284,0.9935704294630078
