Model,MAE,RMSE,R2,Mean_Percentage_Error
Linear Regression,10337658.30140915,22339579.767140727,0.6095204316975757,0.7141226627014419
Gradient Boosting,84390560.12394209,93480005.94656725,-5.837317991553526,5.938966669242328
Random Forest,95903590.63766667,103653093.83461726,-7.406454269907011,6.760037345328835
