Year,Age_0_14,Age_15_64,Rural_Population,Labor_Force_Participation,Birth_Rate,Death_Rate,Fertility_Rate,GDP_Growth,Infant_Mortality,Age_65_Plus,Life_Expectancy,Literacy_Rate,Net_Migration,Population,Population_Density,Population_Growth,Urban_Population
1972,41.1093898370524,55.1551236420255,454808117.0,57.937,39.458,16.597,5.482,-0.553301305344547,131.2,3.73548652092206,49.213,40.7599983215332,-82816.0,570482142.0,191.875440856454,2.19501824226466,20.2765374145567
1973,40.9735754814576,55.249031970561,463040907.0,57.937,39.299,16.311,5.402,3.29552113471652,129.0,3.77739254798137,49.642,40.7599983215332,-404743.0,583465598.0,196.242284549592,2.25036255306664,20.6395528614156
1974,40.8343645306829,55.3502381043461,471397247.0,57.937,39.0,15.893,5.325,1.18533625466961,126.7,3.81539736497097,50.259,40.7599983215332,347869.0,597041391.0,200.808354326498,2.3000950671043,21.0444612042606
1975,40.6630683422924,55.4895000942526,480023660.0,57.937,38.362,15.528,5.195,9.14991201570659,124.0,3.847431563455,50.761,40.7599983215332,434205.0,611309535.0,205.607288804281,2.36169921715702,21.4761700378174
1976,40.487766691489,55.6368726804217,488675543.0,57.937,38.244,15.179,5.13,1.66310363813034,121.1,3.87536062808925,51.302,40.7599983215332,275984.0,625861883.0,210.501812194983,2.3526277752357,21.9195869568118
1977,40.3047875995931,55.7972836385708,497520414.0,57.937,37.563,14.817,5.007,7.25476458760367,117.9,3.8979287618361,51.822,40.7599983215332,590626.0,640801103.0,215.526455759639,2.35894044670683,22.3596195559694
1978,40.1251307879869,55.9571368552443,506345631.0,57.937,37.149,14.429,4.888,5.71253208869331,114.7,3.9177323567688,52.42,40.7599983215332,-210444.0,655728229.0,220.547031639418,2.30273010047879,22.7811754300159
1979,39.9511959628286,56.1143737446938,515654584.0,57.937,37.001,14.066,4.808,-5.23818270446218,111.4,3.93443029247757,53.014,40.7599983215332,774094.0,671155747.0,225.735908905923,2.32548037680355,23.169162173677
1980,39.7975374918351,56.2550850296868,525767491.0,57.937,37.057,13.752,4.775,6.7358215288198,108.2,3.94737747847816,53.593,40.7599983215332,210914.0,687354025.0,231.184022884511,2.38482579119883,23.5084873816783
1981,39.6851893410582,56.3557128209478,536304259.0,57.937,36.761,13.424,4.698,6.00620362601497,105.2,3.95909783799409,54.173,40.7599983215332,33243.0,703696250.0,236.680551865168,2.34973202595162,23.7875348455702
1982,39.5799049561857,56.4504746532764,547217333.0,57.937,36.403,13.093,4.62,3.47573323969961,102.4,3.96962039053794,54.735,41.505998611450195,-10687.0,720313473.0,242.26957342114,2.33396964438701,24.0306681216752
1983,39.4707064279418,56.551028608389,558530665.0,57.937,36.125,12.773,4.565,7.28889290305703,99.8,3.97826496366921,55.283,42.25199890136718,119694.0,737372681.0,248.007251806982,2.3406940951715,24.2539519859126
1984,39.370183967925,56.6451173589565,570227907.0,57.937,35.917,12.471,4.516,3.82073785610604,97.5,3.98469867311846,55.813,42.99799919128417,-32313.0,754875449.0,253.894116756749,2.34593300498783,24.4606633455594
1985,39.2770162225779,56.7327689888321,582152802.0,57.937,35.42,12.164,4.432,5.25429922311382,95.2,3.99021478858997,56.324,43.74399948120116,-89991.0,772647793.0,259.871650651321,2.3270540843985,24.654828858249
1986,39.1796534823412,56.8247451594739,594278830.0,57.937,35.22,11.879,4.399,4.77656416847516,93.0,3.99560135818491,56.819,44.48999977111815,-249545.0,790689978.0,265.939942620552,2.30826458791438,24.8404751816147
1987,39.0660255969583,56.9321068525389,606523489.0,57.937,34.442,11.577,4.311,3.96535563481719,90.8,4.00186755050278,57.291,45.23600006103514,-219150.0,808931270.0,272.075202055704,2.2808002561271,25.0216289732896
1988,38.9229795130071,57.0666278323093,618833388.0,57.937,33.892,11.286,4.222,9.62778291607844,88.6,4.01039265468364,57.744,45.98200035095213,-155676.0,827342990.0,278.267783088198,2.25053923542519,25.2023168909072
1989,38.7520975394047,57.2258215963335,631259149.0,57.937,33.279,11.0,4.132,5.94734333181324,86.4,4.02208086426184,58.196,46.72800064086912,-2907.0,846039529.0,284.556159882147,2.23467340339487,25.3865655921008
1990,38.5602244453119,57.4019050737805,643726151.0,57.937,32.569,10.726,4.045,5.53345456125301,84.4,4.03787048090769,58.618,47.474000930786104,125514.0,864972221.0,290.923964159707,2.213130886438,25.5784017345035
1991,38.3509937701057,57.5905921154682,656053177.0,57.966,32.023,10.472,3.959,1.05683143496063,82.5,4.05841411442611,59.032,48.2200012207031,-157911.0,883927600.0,297.299398962058,2.16777668657973,25.7797610905819
1992,38.1269662687286,57.7896275290253,668361079.0,57.997,31.414,10.225,3.877,5.48239602040357,80.7,4.08340620224614,59.445,49.49900093078611,35155.0,902957070.0,303.699753463452,2.12998519274824,25.9808576702657
