Year,Age_0_14,Age_15_64,Rural_Population,Labor_Force_Participation,Birth_Rate,Death_Rate,Fertility_Rate,GDP_Growth,Infant_Mortality,Age_65_Plus,Life_Expectancy,Literacy_Rate,Net_Migration,Population,Population_Density,Population_Growth,Urban_Population,Prev_Population,Population_Lag_2,Population_Lag_3,Population_MA3,Population_Change,Population_Growth_Rate,Birth_Rate_Lag_1,Birth_Rate_Change,Death_Rate_Lag_1,Death_Rate_Change,Fertility_Rate_Lag_1,Fertility_Rate_Change,Life_Expectancy_Lag_1,Life_Expectancy_Change,GDP_Growth_Lag_1,GDP_Growth_Change,Net_Migration_Lag_1,Net_Migration_Change,Literacy_Rate_Lag_1,Literacy_Rate_Change,Urban_Population_Lag_1,Urban_Population_Change,Infant_Mortality_Lag_1,Infant_Mortality_Change,Population_Density_Lag_1,Population_Density_Change,Birth_Death_Ratio
1973,40.9735754814576,55.249031970561,463040907.0,57.937,39.299,16.311,5.402,3.29552113471652,129.0,3.77739254798137,49.642,40.7599983215332,-404743.0,583465598.0,196.242284549592,2.25036255306664,20.6395528614156,570482142.0,558096387.0,545864268.0,558147599.0,12385755.0,2.2192860030108026,39.458,-0.26599999999999824,16.597,-0.21499999999999986,5.482,-0.08300000000000018,49.213,0.31099999999999994,-0.553301305344547,-2.196231680620367,-82816.0,891758.0,40.7599983215332,0.0,20.2765374145567,0.3031083491686992,131.2,-1.9000000000000057,191.875440856454,4.165813486524996,2.3774176055913716
1974,40.8343645306829,55.3502381043461,471397247.0,57.937,39.0,15.893,5.325,1.18533625466961,126.7,3.81539736497097,50.259,40.7599983215332,347869.0,597041391.0,200.808354326498,2.3000950671043,21.0444612042606,583465598.0,570482142.0,558096387.0,570681375.6666666,12983456.0,2.2758742200908366,39.299,-0.15899999999999892,16.311,-0.28600000000000136,5.402,-0.08000000000000007,49.642,0.42900000000000205,3.29552113471652,3.848822440061067,-404743.0,-321927.0,40.7599983215332,0.0,20.6395528614156,0.3630154468588991,129.0,-2.1999999999999886,196.242284549592,4.366843693138009,2.4093556495616455
1975,40.6630683422924,55.4895000942526,480023660.0,57.937,38.362,15.528,5.195,9.14991201570659,124.0,3.847431563455,50.761,40.7599983215332,434205.0,611309535.0,205.607288804281,2.36169921715702,21.4761700378174,597041391.0,583465598.0,570482142.0,583663043.6666666,13575793.0,2.3267512337548304,39.0,-0.2989999999999995,15.893,-0.41799999999999926,5.325,-0.07699999999999996,50.259,0.6169999999999973,1.18533625466961,-2.1101848800469103,347869.0,752612.0,40.7599983215332,0.0,21.0444612042606,0.4049083428450011,126.7,-2.299999999999997,200.808354326498,4.566069776906005,2.4539105266469514
1976,40.487766691489,55.6368726804217,488675543.0,57.937,38.244,15.179,5.13,1.66310363813034,121.1,3.87536062808925,51.302,40.7599983215332,275984.0,625861883.0,210.501812194983,2.3526277752357,21.9195869568118,611309535.0,597041391.0,583465598.0,597272174.6666666,14268144.0,2.3898081799826167,38.362,-0.6379999999999981,15.528,-0.3650000000000002,5.195,-0.1299999999999999,50.761,0.5020000000000024,9.14991201570659,7.96457576103698,434205.0,86336.0,40.7599983215332,0.0,21.4761700378174,0.4317088335568009,124.0,-2.700000000000003,205.607288804281,4.798934477783007,2.470504894384338
1977,40.3047875995931,55.7972836385708,497520414.0,57.937,37.563,14.817,5.007,7.25476458760367,117.9,3.8979287618361,51.822,40.7599983215332,590626.0,640801103.0,215.526455759639,2.35894044670683,22.3596195559694,625861883.0,611309535.0,597041391.0,611404269.6666666,14552348.0,2.3805203692757715,38.244,-0.1180000000000021,15.179,-0.3490000000000002,5.13,-0.06500000000000039,51.302,0.5409999999999968,1.66310363813034,-7.48680837757625,275984.0,-158221.0,40.7599983215332,0.0,21.9195869568118,0.44341691899439795,121.1,-2.9000000000000057,210.501812194983,4.894523390701977,2.5195335661110745
1978,40.1251307879869,55.9571368552443,506345631.0,57.937,37.149,14.429,4.888,5.71253208869331,114.7,3.9177323567688,52.42,40.7599983215332,-210444.0,655728229.0,220.547031639418,2.30273010047879,22.7811754300159,640801103.0,625861883.0,611309535.0,625990840.3333334,14939220.0,2.3869835191736706,37.563,-0.6809999999999974,14.817,-0.3620000000000001,5.007,-0.12300000000000022,51.822,0.5200000000000031,7.25476458760367,5.59166094947333,590626.0,314642.0,40.7599983215332,0.0,22.3596195559694,0.4400325991576004,117.9,-3.1999999999999886,215.526455759639,5.024643564656003,2.535128568536141
1979,39.9511959628286,56.1143737446938,515654584.0,57.937,37.001,14.066,4.808,-5.23818270446218,111.4,3.93443029247757,53.014,40.7599983215332,774094.0,671155747.0,225.735908905923,2.32548037680355,23.169162173677,655728229.0,640801103.0,625861883.0,640797071.6666666,14927126.0,2.3294476133259714,37.149,-0.4140000000000015,14.429,-0.3879999999999999,4.888,-0.11899999999999977,52.42,0.597999999999999,5.71253208869331,-1.5422324989103604,-210444.0,-801070.0,40.7599983215332,0.0,22.7811754300159,0.42155587404650063,114.7,-3.200000000000003,220.547031639418,5.020575879779017,2.574606694850648
1980,39.7975374918351,56.2550850296868,525767491.0,57.937,37.057,13.752,4.775,6.7358215288198,108.2,3.94737747847816,53.593,40.7599983215332,210914.0,687354025.0,231.184022884511,2.38482579119883,23.5084873816783,671155747.0,655728229.0,640801103.0,655895026.3333334,15427518.0,2.352730493779001,37.001,-0.14800000000000324,14.066,-0.36299999999999955,4.808,-0.08000000000000007,53.014,0.5940000000000012,-5.23818270446218,-10.950714793155491,774094.0,984538.0,40.7599983215332,0.0,23.169162173677,0.3879867436611022,111.4,-3.299999999999997,225.735908905923,5.1888772665049885,2.630527513152282
1981,39.6851893410582,56.3557128209478,536304259.0,57.937,36.761,13.424,4.698,6.00620362601497,105.2,3.95909783799409,54.173,40.7599983215332,33243.0,703696250.0,236.680551865168,2.34973202595162,23.7875348455702,687354025.0,671155747.0,655728229.0,671412667.0,16198278.0,2.4134901730939062,37.057,0.05600000000000449,13.752,-0.31400000000000006,4.775,-0.032999999999999474,53.593,0.5790000000000006,6.7358215288198,11.974004233281981,210914.0,-563180.0,40.7599983215332,0.0,23.5084873816783,0.3393252080012985,108.2,-3.200000000000003,231.184022884511,5.4481139785879975,2.6946625945317044
1982,39.5799049561857,56.4504746532764,547217333.0,57.937,36.403,13.093,4.62,3.47573323969961,102.4,3.96962039053794,54.735,41.5059986114502,-10687.0,720313473.0,242.26957342114,2.33396964438701,24.0306681216752,703696250.0,687354025.0,671155747.0,687402007.3333334,16342225.0,2.377555729014608,36.761,-0.2959999999999994,13.424,-0.3280000000000012,4.698,-0.07699999999999996,54.173,0.5799999999999983,6.00620362601497,-0.7296179028048302,33243.0,-177671.0,40.7599983215332,0.0,23.7875348455702,0.2790474638918994,105.2,-3.0,236.680551865168,5.496528980657018,2.7384535160905843
