"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Ecuador","ECU","Rural population","SP.RUR.TOTL","2998080","3057297","3119330","3184570","3254121","3327780","3404993","3485083","3567317","3650790","3734557","3817753","3899362","3978222","4052898","4119158","4174903","4221932","4262172","4297644","4331191","4365251","4402966","4444677","4487013","4527496","4565046","4600403","4634274","4668117","4703761","4738150","4769603","4796942","4820025","4842694","4866686","4892098","4920160","4951979","4988571","5033594","5086280","5142742","5200843","5260591","5323149","5389230","5459936","5536189","5617497","5702137","5786491","5867017","5945304","6025142","6108331","6197761","6300945","6404933","6478465","6527102","6578768","6629118","6667020","",
"Egypt, Arab Rep.","EGY","Rural population","SP.RUR.TOTL","16722524","16996301","17272020","17549272","17834714","18134846","18464351","18814250","19167360","19525802","19884719","20245416","20621153","21016471","21437231","21894560","22379925","22899276","23455427","24037219","24661584","25323277","26021632","26787553","27600886","28430780","29253440","30083750","30975367","31905502","32953864","33990935","34935407","35869984","36756150","37617704","38447492","39255322","40108314","40988631","41851917","42713240","43582283","44467246","45361306","46262505","47161560","48060231","48976504","49929880","50925857","52047461","53277052","54577098","55900935","57163266","58424220","59678532","60811889","61863283","62836352","63724156","64606260","65617760","66659375","",
"Euro area","EMU","Rural population","SP.RUR.TOTL","104494914","103879585","103101505","102114689","100899263","99616051","98333637","97119005","96125514","95306207","94575231","93991016","93605448","93216754","92814417","92591536","92364523","92089669","91851648","91623416","91448856","91199278","90854063","90509790","90135774","89796970","89486072","89230852","89021216","88918824","88878132","88819966","88772151","88689772","88486160","88256809","87777965","87077193","86657027","86391399","85941391","85393915","85191946","85128338","85105307","85026320","84928977","84949725","85033915","84903569","84585239","84047615","83676419","83075224","82580583","82080664","81390635","81120938","80812570","80360434","80073334","79741936","79548216","79480221","79354672","",
"Eritrea","ERI","Rural population","SP.RUR.TOTL","871388","889166","907965","927698","948190","969414","990250","1011754","1035064","1059194","1084395","1110712","1137363","1164302","1190842","1216888","1245497","1276699","1308634","1341336","1375074","1409938","1445617","1476775","1503081","1528709","1554247","1582733","1614910","1635824","1655288","1538919","1413249","1424119","1430815","1473513","1507531","1486564","1473958","1471674","1480830","1518450","1566394","1627393","1690639","1727070","1750449","1772613","1816821","1860543","1895679","1928907","1953317","1977695","1992062","2000251","2014636","2033779","2064276","2098504","2135504","2178051","2221359","2266289","2314528","",
"Spain","ESP","Rural population","SP.RUR.TOTL","13261801","13174769","13042852","12854807","12646549","12426221","12186805","11973754","11784005","11585031","11444393","11363333","11284074","11205751","11128906","11054012","10979998","10906915","10831010","10751183","10668277","10581422","10489281","10392216","10295126","10200471","10107623","10019466","9935609","9855650","9780015","9729631","9711454","9704777","9700458","9697317","9694341","9692182","9688031","9679494","9669328","9675139","9739142","9825783","9891367","9943892","9990789","10052157","10090536","10064472","10007598","9958346","9894574","9793495","9701154","9634722","9588219","9562786","9563176","9595694","9616062","9590947","9578782","9608377","9615797","",
"Estonia","EST","Rural population","SP.RUR.TOTL","513806","504482","495481","491559","489035","486070","483468","479881","476913","475776","473648","474400","471980","468712","465335","461706","457655","453682","449553","446213","443324","441348","439944","439855","440803","441678","442868","445006","446625","447955","450830","453470","451751","447691","446062","445944","446654","447846","448391","452697","455619","452628","449543","446386","443274","440193","436963","434249","432285","430583","428671","426406","423753","420542","417147","414621","411526","408479","406107","403659","400431","396914","398053","401809","402122","",
"Ethiopia","ETH","Rural population","SP.RUR.TOTL","19857067","20319484","20807306","21318422","21853537","22413207","22968618","23545034","24164595","24796459","25444974","26103113","26760797","27430793","28095356","28733742","29409007","29919209","30366806","30754159","30856689","31570341","32744702","33593547","34396730","35288275","36244895","37389172","38757679","40148857","41532782","43239568","44967707","46452411","47983129","49549681","51081065","52619180","54167232","55755792","57354164","58982764","60651476","62356222","64088510","65842023","67617542","69727893","71177746","72913358","74699902","76509854","78357513","80113871","81877064","83663350","85506474","87394880","89248249","91144728","93200529","95137766","96875952","99017129","100864234","",
"European Union","EUU","Rural population","SP.RUR.TOTL","148696814","147884650","146961365","145856953","144403143","142814263","141328517","140022286","138873070","137771949","136661171","135667392","134918936","134177307","133401549","133043369","132464621","131915536","131526057","131033788","130193008","129649143","129087219","128525238","127923244","127512712","127063994","126659232","126326948","126067523","125930069","125718891","125536233","125400482","125167586","124918243","124425471","123701254","123239920","122931138","122275906","121419289","120897412","120719326","120571614","120276776","119978664","119841197","119659422","119409527","118880936","118227423","117799831","117076126","116495633","115943754","115219824","114919199","114594526","114142498","113728747","113132310","112847303","112698646","112421938","",
"Fragile and conflict affected situations","FCS","Rural population","SP.RUR.TOTL","190776179","193665333","196799679","199962542","203147608","206353439","209540862","212770021","216048067","219386026","222822607","226274425","229794524","233584763","237623740","241714244","245937819","250159067","254738415","259530448","263718189","267547085","271941276","276633759","281347568","286152103","290790294","295427858","300080743","305036129","310904454","316399929","322967132","330311517","338484581","346507529","353094373","359409611","366265857","373412906","380249967","387268832","395148321","403323863","411296029","419501181","427932037","436593134","444841909","453787606","462792322","471424218","479251492","486574278","494745162","503153761","511773435","520501334","529318176","538541209","547845974","556826932","564558816","573143380","582490459","",
"Finland","FIN","Rural population","SP.RUR.TOTL","1967778","1951650","1938389","1928002","1916703","1902781","1890918","1883048","1873851","1855227","1830441","1814228","1805261","1794034","1779967","1771908","1766535","1763851","1764294","1764370","1764062","1767265","1774288","1782341","1788699","1790689","1790686","1790361","1790829","1795287","1801237","1806441","1810303","1811152","1806898","1797639","1782848","1764022","1742979","1721558","1701794","1686194","1674844","1665946","1658551","1651783","1645244","1638443","1631513","1625886","1620506","1613339","1604369","1595021","1584498","1572324","1559796","1544707","1525465","1505017","1488280","1475516","1461436","1451468","1446356","",
"Fiji","FJI","Rural population","SP.RUR.TOTL","301043","303245","306075","309654","313913","318948","324614","329913","334585","339193","343690","348037","352167","356008","359677","363540","368243","374720","382633","390977","399609","408495","417608","426895","436265","445450","453358","457650","458421","457489","455119","451637","447404","442779","438168","434059","431670","432008","433638","435219","436726","438147","439497","440714","441753","442582","443139","443085","441780","439441","436623","433364","429661","425597","421320","416819","412030","406635","401424","396061","391726","388119","384914","382532","380089","",
"France","FRA","Rural population","SP.RUR.TOTL","18167982","17949124","17681604","17315704","16865536","16367661","15886980","15494485","15239947","15055329","14894865","14765430","14662774","14596755","14566850","14573121","14598272","14638378","14682583","14728751","14786841","14849584","14871252","14914697","14948583","14981054","15011313","15041661","15071751","15098315","15108481","15095409","15061717","15002210","14920246","14826314","14723953","14617080","14510857","14418670","14307114","14170605","14059551","14025439","14115447","14255918","14412545","14566533","14705729","14817425","14893418","14951111","14991648","15018442","15018072","14799609","14279017","14289152","14323906","14359738","14390983","14425783","14482930","14508304","14532968","",
"Faroe Islands","FRO","Rural population","SP.RUR.TOTL","26961","27063","27127","27194","27272","27377","27456","27479","27491","27511","27556","27638","27723","27802","27900","28027","28199","28442","28795","29142","29473","29839","30137","30348","30556","30988","31183","31348","31719","31960","31757","31448","31198","30576","29528","28618","28376","28604","28831","29042","29420","29877","30324","30679","30812","30789","30713","30820","30843","30793","30530","30438","30267","30037","30069","30247","30509","30945","31411","31907","32239","32613","32888","33085","33129","",
"Micronesia, Fed. Sts.","FSM","Rural population","SP.RUR.TOTL","33153","34233","35354","36408","37391","38423","39506","40597","41703","42866","44094","45274","46399","47574","48783","49921","51014","52176","53570","55208","56917","58676","60470","62299","64163","66062","67993","69949","71677","73161","74642","76123","77754","79556","81177","82354","83424","84602","85714","86574","87025","87274","87338","87212","86932","86534","86006","85354","84631","83883","83569","83691","83837","84011","84219","84459","84728","85031","85350","85624","86098","86628","86987","87363","87748","",
"Gabon","GAB","Rural population","SP.RUR.TOTL","447764","450176","449950","447453","443060","437214","430387","423013","415580","409555","405175","400448","394370","387330","379659","371635","363523","355546","347946","340990","335008","330406","327197","324909","323166","321549","319626","316918","312964","307908","302221","296477","291304","287443","284360","280923","277151","273156","269030","264830","260650","256560","252609","248863","245433","242462","240048","238260","237158","236884","237597","239382","242240","245862","244855","243178","240599","237238","233311","228966","224170","218939","213314","207788","206589","",
"United Kingdom","GBR","Rural population","SP.RUR.TOTL","11239637","11422545","11615151","11806752","11991866","12176699","12346555","12506327","12646476","12759727","12848105","12910736","12918635","12863063","12758023","12623056","12476758","12331973","12206067","12116154","12067183","12056076","12062920","12090976","12143397","12210302","12280649","12348189","12413037","12475405","12531967","12574866","12578477","12539483","12471560","12381783","12275469","12162080","12053285","11957988","11882071","11833494","11806054","11790442","11792225","11811097","11836875","11866919","11894900","11913937","11928644","11933162","11919967","11893053","11867091","11830149","11794171","11721725","11635996","11547191","11413223","11394887","11441708","11533920","11600232","",
"Georgia","GEO","Rural population","SP.RUR.TOTL","2091251","2087621","2090974","2110110","2120937","2126203","2129739","2133253","2135218","2137646","2144237","2152050","2160675","2165148","2163360","2148001","2138721","2141387","2132610","2126809","2131427","2133710","2135455","2139415","2142290","2144652","2145242","2140535","2134721","2146076","2154312","2180849","2211089","2242833","2223737","2156460","2093393","2039764","2000669","1968606","1936898","1910447","1893265","1876503","1856952","1834019","1809817","1784528","1761694","1727803","1696555","1664482","1634427","1612791","1598464","1587698","1576794","1565774","1553829","1539015","1526349","1504607","1484624","1458241","1439906","",
"Ghana","GHA","Rural population","SP.RUR.TOTL","5340202","5447270","5530653","5613876","5698526","5787047","5879775","5978038","6083630","6200905","6338004","6488924","6650053","6823067","7003925","7190968","7382851","7585526","7800453","8021604","8236391","8444309","8661948","8889351","9077228","9218268","9352886","9486293","9621229","9757487","9892106","10017692","10134947","10246774","10349377","10446279","10541072","10642714","10754418","10873709","11009066","11164277","11328928","11488551","11643294","11796541","11949163","12101889","12253287","12403703","12551608","12700373","12853892","13008831","13160945","13308478","13455060","13594042","13719977","13840014","13961388","14082125","14171060","14255974","14333686","",
"Gibraltar","GIB","Rural population","SP.RUR.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Guinea","GIN","Rural population","SP.RUR.TOTL","3211273","3249024","3285457","3320700","3354971","3388503","3421611","3454524","3487252","3519086","3548690","3575478","3599781","3622362","3643748","3664333","3684975","3706979","3732004","3762011","3798878","3843751","3897624","3960110","4029690","4106939","4191746","4283364","4379887","4478275","4618913","4790399","4928219","5062509","5197691","5325114","5456775","5547769","5629927","5733498","5822375","5873981","5940596","6049110","6153296","6250535","6355153","6476237","6606790","6741876","6881425","7025693","7172050","7321581","7478305","7644204","7810040","7978503","8149422","8325277","8493346","8658159","8821215","8982471","9137446","",
"Gambia, The","GMB","Rural population","SP.RUR.TOTL","361967","372428","383029","393671","403863","413402","422312","430844","439155","447217","455127","463097","471313","479746","487249","493279","498545","503443","508274","513496","519618","526869","536074","548345","563294","580135","598542","618318","639259","661160","683688","706311","727588","744949","756752","764067","768506","770796","771636","771700","771599","772185","774401","779324","786236","794206","803429","813676","824521","835816","847504","859580","871978","884229","895808","906588","916585","925827","934307","942366","950773","959433","967928","976565","985332","",
"Guinea-Bissau","GNB","Rural population","SP.RUR.TOTL","499763","502660","507465","510670","504701","492287","484636","485765","492937","495229","496954","497812","497408","501827","518248","548893","583948","622294","662103","683085","686161","689115","689640","688096","684932","680666","675826","671021","666963","664331","663546","668878","682218","699281","715707","728738","739104","748612","758207","768423","779848","792549","806159","820597","835674","851331","867763","885057","902772","920838","939658","957784","976506","995576","1014601","1033344","1051761","1069639","1087084","1104378","1121306","1137851","1154615","1171580","1186238","",
"Equatorial Guinea","GNQ","Rural population","SP.RUR.TOTL","199571","203119","207049","211198","215573","220188","225048","230152","235331","238021","236742","233141","228354","223040","217621","212404","207320","204164","203959","206375","212829","223556","237481","253041","267765","279826","288927","295424","300210","304202","308079","312508","318210","325963","336685","349590","363177","377485","392516","408252","430298","458421","485182","509600","531577","546806","555284","560941","563473","562473","557421","546726","530190","508709","482110","451425","463718","475725","487518","499090","508326","516325","524994","533405","542066","",
"Greece","GRC","Rural population","SP.RUR.TOTL","3678910","3664839","3632171","3578520","3515198","3449016","3388259","3328947","3266124","3199332","3136908","3091836","3058013","3018868","2978720","2957455","2956493","2950676","2947885","2947355","2943358","2941615","2934723","2928688","2921945","2913540","2904807","2897309","2891554","2891061","2906546","2926706","2935529","2940992","2945009","2948617","2951457","2955296","2959805","2957536","2953698","2949496","2932893","2903340","2867315","2827944","2786195","2742745","2701323","2663741","2628735","2594631","2554934","2511560","2471156","2432595","2401716","2377910","2355968","2338505","2320881","2284165","2238688","2208999","2185413","",
"Grenada","GRD","Rural population","SP.RUR.TOTL","65470","66172","66694","67056","67238","67246","67089","66872","66720","66668","66701","66767","66768","66644","66421","66111","65716","65244","64709","64107","63414","63034","63207","63542","63872","64245","64661","65112","65587","66076","66568","67044","67433","67711","67906","68042","68148","68258","68404","68611","68908","69198","69465","69773","70056","70322","70583","70838","71086","71327","71555","71887","72328","72769","73157","73471","73717","73860","73959","74072","74220","74350","74393","74391","74353","",
"Greenland","GRL","Rural population","SP.RUR.TOTL","13569","13554","13310","12905","12386","12154","12049","12078","12171","12305","12487","12528","12690","12771","12809","12735","12636","12377","12208","11987","11852","11846","11779","11718","11593","11432","11182","11132","11210","11205","11135","11003","10895","10782","10659","10570","10584","10599","10592","10566","10421","10266","10144","10017","9921","9855","9739","9499","9225","9093","8888","8802","8586","8262","8063","7830","7739","7644","7437","7297","7168","7056","6910","6788","6639","",
"Guatemala","GTM","Rural population","SP.RUR.TOTL","2769563","2831589","2895964","2962184","3030402","3099543","3168478","3237901","3308290","3379546","3453486","3531622","3616191","3709959","3818937","3942048","4066977","4201203","4349690","4497101","4636954","4760867","4869978","4986775","5122469","5261009","5398340","5535965","5677358","5820958","5965259","6105388","6243424","6383151","6520824","6625519","6679965","6697110","6690096","6668367","6639147","6621712","6640832","6690486","6746066","6798265","6848465","6900217","6951340","7002320","7057634","7120079","7189864","7265749","7347539","7436267","7538793","7654206","7774964","7835555","7889196","7936163","7985475","8045936","8107136","",
"Guam","GUM","Rural population","SP.RUR.TOTL","14388","13377","12350","11503","10829","10324","9977","9777","9713","9774","9955","10184","10420","10659","10898","11133","11367","11602","11835","12074","12340","12586","12771","12896","12969","12999","12999","12978","12947","12921","12881","12782","12621","12419","12191","11949","11704","11469","11262","11103","10981","10844","10686","10522","10360","10207","10073","9964","9890","9859","9864","9864","9851","9828","9799","9764","9723","9679","9631","9579","9599","9679","9734","9766","9777","",
"Guyana","GUY","Rural population","SP.RUR.TOTL","403999","412818","421127","429475","437878","446372","455014","463853","472969","482442","491084","498213","504847","511334","517508","523330","528820","533935","538611","542795","545928","547383","547528","546896","545576","543648","541194","538321","535120","531692","528159","526721","528291","530753","533243","535676","537937","540010","541905","543553","544858","545688","546166","547080","548431","549564","550550","551404","551939","551886","551009","549169","549268","552013","555099","558429","561910","565501","582436","594232","594031","599842","604284","607657","611034","",
"High income","HIC","Rural population","SP.RUR.TOTL","350693058","349427469","348216384","346638857","344668107","342538866","339959534","337370499","334911166","332547504","330609382","329508494","327750327","325684088","323367324","322056926","320919500","319896381","319261276","318443695","317400484","316655717","315713437","314800501","313859522","312921473","311689310","310422084","309230941","308270928","307694535","307364608","307369291","307240831","306510903","305483392","304030987","302716431","301672654","301103799","299805553","298061354","295501704","292522870","289646958","287344082","285437181","283850747","282656941","281921159","281016618","280583553","280887925","281043760","281250566","281571230","281734687","282073391","282221389","282306167","282282388","281024538","280933609","281391608","281693642","",
"Hong Kong SAR, China","HKG","Rural population","SP.RUR.TOTL","458036","468675","486522","498204","502543","505911","498829","498698","495696","489725","487995","485339","480666","478602","476728","467694","454970","442784","432199","437621","431385","425206","418292","412956","404177","391672","368610","306385","211467","113398","39329","15194","10122","5590","2314","413","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Honduras","HND","Rural population","SP.RUR.TOTL","1580578","1628372","1672165","1713421","1752517","1789824","1825616","1860248","1894278","1928395","1963387","2000042","2039075","2080136","2121812","2166839","2216026","2266120","2316850","2368259","2420300","2472787","2525661","2579009","2632654","2686333","2740207","2794515","2849455","2905682","2964001","3024330","3086297","3149616","3214072","3279564","3345565","3411389","3472463","3532779","3596507","3658622","3717881","3773882","3826572","3876002","3921905","3964453","4003791","4039748","4071893","4100258","4125355","4146281","4180201","4213796","4246222","4277485","4307897","4337497","4364685","4388116","4411938","4437494","4461806","",
"Heavily indebted poor countries (HIPC)","HPC","Rural population","SP.RUR.TOTL","143578686","146554825","149603736","152720141","155924732","159222539","162597380","166107458","169769358","173508669","177332722","181162965","184968496","188942781","193116565","197338463","201641110","205899673","210651960","215632287","219713905","223451585","228051853","233288390","238561835","243804197","249061257","254385193","260038226","265877542","271619105","277265129","284257964","292197057","299618239","306887378","314599974","322223213","330055017","338081642","345790253","353586189","362303340","371418150","380311791","389441608","398731427","408026103","416907846","426437472","435861489","445454480","455324717","465309668","475647297","486257833","497195023","508558952","519740591","530959808","542300888","553280086","563632520","574327205","584918106","",
"Croatia","HRV","Rural population","SP.RUR.TOTL","2892795","2874208","2854313","2830698","2803418","2775012","2746831","2717446","2688241","2660098","2631552","2605515","2582174","2560563","2540745","2522409","2506062","2489896","2472567","2450749","2423801","2399381","2378234","2355096","2329518","2303203","2277211","2252429","2229551","2209549","2194340","2140654","2078905","2080337","2094469","2071768","2036313","2020287","2014152","2001943","1980270","1905112","1906958","1909044","1911712","1916690","1919820","1922024","1924151","1924000","1920808","1914406","1904202","1889771","1871426","1844144","1818133","1782221","1751345","1725755","1701565","1676947","1658012","1650280","1642520","",
"Haiti","HTI","Rural population","SP.RUR.TOTL","3270554","3315954","3362161","3406614","3451585","3499285","3547042","3595066","3643666","3692563","3741803","3765651","3832404","3904016","3977961","4054161","4132274","4212046","4293424","4376172","4460091","4545325","4632247","4718188","4799161","4875256","4946411","5012546","5073706","5129366","5179035","5221203","5254917","5280429","5297365","5306604","5308883","5303850","5291123","5270915","5244200","5209929","5167090","5150762","5179485","5203058","5227206","5250300","5271973","5292581","5287115","5279451","5293529","5304901","5313960","5321238","5326357","5329357","5330460","5329711","5326127","5318067","5308627","5300872","5293264","",
"Hungary","HUN","Rural population","SP.RUR.TOTL","4648721","4654957","4654687","4650672","4647789","4642122","4636630","4633412","4629749","4626746","4621085","4610213","4599035","4588132","4582093","4581726","4578813","4571195","4557359","4535360","4507521","4476534","4442153","4403354","4362082","4321374","4280940","4240439","4200394","4121467","4045803","4012090","3976895","3938654","3899510","3860312","3819939","3778568","3736208","3692212","3649377","3601626","3551449","3561014","3535223","3416879","3321982","3317989","3202413","3161218","3046952","3043571","3018049","2968952","2919714","2891830","2881726","2873843","2866352","2864188","2872914","2869447","2866298","2849618","2821591","",
"IBRD only","IBD","Rural population","SP.RUR.TOTL","1380688284","1392703336","1425195138","1457238172","1475328437","1505674631","1536516052","1566629960","1597469643","1629420859","1662587710","1696339687","1727905126","1756735625","1785120890","1810004500","1834801171","1858780495","1880229833","1895352918","1916969488","1936455871","1961335985","1979757222","1994013188","2015759629","2036820750","2058732866","2083880733","2109582824","2139607549","2159519976","2180161663","2199407616","2217297960","2234069299","2238959069","2242611729","2245185866","2246858673","2243940162","2245691442","2243475856","2239899479","2238838277","2237063652","2232605987","2224336499","2221345138","2214606355","2213564893","2190150718","2185128716","2176434831","2167878276","2154435858","2143519598","2134007397","2121809498","2111072575","2104244929","2088701582","2081905005","2078406463","2075126527","",
"IDA & IBRD total","IBT","Rural population","SP.RUR.TOTL","1722723709","1741992360","1782018066","1821836060","1847938217","1886529974","1925806290","1964592812","2004315490","2045191472","2087164037","2129074736","2168834259","2206939514","2246022192","2281276465","2315195358","2348277881","2379368598","2404933037","2437217673","2467781316","2504634487","2535449224","2562043094","2596409795","2630296481","2665073939","2703225439","2742165549","2785525176","2818730284","2853871425","2888428933","2921245199","2953075214","2973488114","2992462993","3010137942","3026690967","3038443941","3054769804","3067239039","3078167802","3091203798","3103523941","3113483411","3120350722","3132114939","3140824773","3155575040","3147588841","3156917882","3161116301","3166937409","3168483351","3172689956","3178558731","3181987675","3187374891","3196963647","3197555391","3206099920","3217963343","3229881447","",
"IDA total","IDA","Rural population","SP.RUR.TOTL","342035425","349289024","356822928","364597888","372609780","380855343","389290238","397962852","406845847","415770613","424576327","432735049","440929133","450203889","460901302","471271965","480394187","489497386","499138765","509580119","520248185","531325445","543298502","555692002","568029906","580650166","593475731","606341073","619344706","632582725","645917627","659210308","673709762","689021317","703947239","719005915","734529045","749851264","764952076","779832294","794503779","809078362","823763183","838268323","852365521","866460289","880877424","896014223","910769801","926218418","942010147","957438123","971789166","984681470","999059133","1014047493","1029170358","1044551334","1060178177","1076302316","1092718718","1108853809","1124194915","1139556880","1154754920","",
"IDA blend","IDB","Rural population","SP.RUR.TOTL","101614620","103635622","105784656","108046747","110397198","112823309","115319840","117840963","120411453","123085767","125827637","128535098","131225229","134019119","136909938","139906633","142979506","146174253","149454701","153136461","157609226","162336729","166716033","170785646","174808638","179157261","183642163","188187942","192793083","197501249","202311535","207140413","211696189","216129003","220564494","225085156","229709982","234298041","238879590","243350185","247897489","252477997","256658106","260696245","264867096","269018083","273254317","278103826","283291220","288708420","294299353","299521830","304246763","308548846","312662302","316572358","320179497","323838098","327602059","331235798","334715885","338167245","341378252","344307443","347307466","",
"Indonesia","IDN","Rural population","SP.RUR.TOTL","75398085","77325542","79317542","81387905","83547327","85488083","87329411","89409163","91620871","93916713","96226880","98511773","100740024","102889228","104941634","106906644","108806251","110639484","112438977","114216317","115963038","117656441","119266884","120786936","122192612","123429064","124461805","125341726","126123116","126804733","127359822","127757818","127915595","127860655","127652577","127323994","126927799","126510317","126090133","125682565","125355036","125100762","124852806","124608686","124339289","124122658","123990261","123880956","123766639","123634193","123516854","123530071","123419493","123242216","122966212","122595150","122224637","121765437","121220030","120608691","120153103","119348672","118521181","117768206","116936040","",
"IDA only","IDX","Rural population","SP.RUR.TOTL","240420805","245653402","251038272","256551141","262212582","268032034","273970398","280121889","286434394","292684846","298748690","304199951","309703904","316184770","323991364","331365332","337414681","343323133","349684064","356443658","362638959","368988716","376582469","384906356","393221268","401492905","409833568","418153131","426551623","435081476","443606092","452069895","462013573","472892314","483382745","493920759","504819063","515553223","526072486","536482109","546606290","556600365","567105077","577572078","587498425","597442206","607623107","617910397","627478581","637509998","647710794","657916293","667542403","676132624","686396831","697475135","708990861","720713236","732576118","745066518","758002833","770686564","782816663","795249437","807447454","",
"Isle of Man","IMN","Rural population","SP.RUR.TOTL","21937","21634","21598","21641","21699","21796","22052","22514","23088","23713","24387","25053","25807","26730","27717","28618","29334","29976","30616","31220","31757","32044","32045","31929","31768","31593","31638","31976","32387","32819","33285","33684","33938","34133","34319","34481","34733","35141","35592","36033","36446","36841","37301","37823","38351","38835","39252","39571","39810","40034","40310","40483","40434","40320","40184","40027","39953","40007","40088","40149","40190","40203","40219","40245","40259","",
"India","IND","Rural population","SP.RUR.TOTL","357839038","366075862","374315608","382544792","390845089","398877427","406538553","414299154","422142663","429916532","438239792","446625401","454808117","463040907","471397247","480023660","488675543","497520414","506345631","515654584","525767491","536304259","547217333","558530665","570227907","582152802","594278830","606523489","618833388","631259149","643726151","656053177","668361079","680737472","692969292","705185767","717468852","729670522","741758789","753667153","765438404","777133989","788343923","798893541","809137143","818728445","827689071","836080287","843814083","851512596","859193297","866781260","874742588","882334475","889345693","895788394","902255954","908494076","914169786","919344187","923922894","927115988","930009287","933771782","937610709","",
"Not classified","INX","Rural population","SP.RUR.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Rural population","SP.RUR.TOTL","1559419","1542442","1529601","1515117","1497391","1478676","1463241","1450592","1438024","1428448","1424049","1426499","1434680","1445019","1456727","1468954","1479922","1489383","1500659","1511568","1520720","1531249","1539333","1544603","1549028","1546597","1542446","1538118","1527499","1517395","1514186","1517545","1521293","1521172","1518770","1517908","1521413","1528241","1535543","1543968","1555372","1570607","1587063","1602125","1619986","1643653","1676514","1712939","1734841","1739675","1737826","1736435","1736189","1738337","1745004","1756688","1775403","1790812","1808132","1827668","1840952","1856296","1882250","1906034","1923759","",
"Iran, Islamic Rep.","IRN","Rural population","SP.RUR.TOTL","14177823","14465673","14761008","15064518","15377988","15738271","16090805","16281654","16533570","16785371","17041231","17286857","17519554","17749415","17982045","18222917","18544039","18771833","19125836","19515635","19945990","20715706","21520355","22040529","22538949","23023446","23587378","24088273","24581253","25000755","25418042","25854797","25789446","25362492","24883179","24618886","24484603","24110463","23933487","23750298","23593228","23461922","23173386","22965571","23004210","23077850","23258026","23271408","23123199","22944935","22754556","22571301","22411582","22272385","22142144","22012987","21892081","21765842","21698783","21585424","21405713","21235830","21186610","21133614","21042151","",
"Iraq","IRQ","Rural population","SP.RUR.TOTL","3934041","3922269","3926503","3942839","3961209","3989454","4026399","4065238","4105218","4146235","4189056","4232029","4275427","4320750","4365377","4408894","4453370","4503953","4555417","4592308","4620399","4639687","4652511","4679876","4726924","4758850","4818241","4923868","5043617","5209406","5323636","5443102","5679378","6037043","6409590","6696374","6965171","7209713","7439323","7671417","7905287","8125814","8349715","8562879","8764188","8979189","8997299","8881895","9022455","9325789","9605965","9929768","10358213","10780606","11086852","11298012","11574596","11842726","12129409","12411885","12690442","12978101","13279212","13581587","13865024","",
"Iceland","ISL","Rural population","SP.RUR.TOTL","34497","34046","33673","33371","32787","32327","32193","32002","31434","31007","30582","30244","29811","29306","29061","28643","28224","27866","27561","27362","27178","26900","26641","26337","26053","25757","25399","25009","24670","24280","23939","23457","23115","22954","22746","22360","21943","21639","22812","22712","22588","22669","22521","22225","22087","22619","23710","23799","22014","20880","20804","21020","20799","20667","20888","20749","20857","21387","21683","21716","21487","21566","22238","22554","22487","",
"Israel","ISR","Rural population","SP.RUR.TOTL","488193","480688","485082","483960","484368","482766","476859","479731","472278","467648","466688","465277","461418","464399","461998","456211","450235","444556","438811","435843","433180","430101","428230","428112","427115","428557","429546","431259","433546","436354","445654","468892","481050","489721","498251","507302","516098","524172","531066","539366","548340","556006","562097","567441","573120","579465","586686","594969","604490","618911","630346","642200","654384","667102","680654","695189","710219","725809","742103","759142","776018","793256","812580","836283","844214","",
"Italy","ITA","Rural population","SP.RUR.TOTL","20436610","20310107","20188371","20061958","19941161","19817147","19679541","19537310","19389894","19249600","19129100","19033261","18981671","18953918","18923408","18887749","18843197","18798473","18758819","18728644","18709123","18704480","18717415","18731236","18746968","18767090","18784607","18803448","18828530","18856361","18882193","18900174","18910764","18909745","18891933","18862867","18832471","18801773","18762939","18719655","18680867","18645604","18637613","18694948","18789966","18851986","18874102","18927868","19002528","19028311","19012776","18967577","18803216","18511203","18349098","18303777","18276877","18289839","18357368","18214383","18117705","18046705","18008624","17967681","17918820","",
