"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Rural population","SP.RUR.TOTL","910395","915902","924560","933071","942304","959544","977858","991139","1001285","999781","993475","994044","991139","992449","993464","992557","999512","1017124","1038473","1050079","1050961","1051177","1051559","1052588","1055816","1060900","1066683","1073682","1080149","1108634","1146779","1172772","1167321","1138208","1119484","1111490","1112833","1112424","1109128","1103233","1128698","1129821","1128262","1124493","1120461","1115920","1110874","1105434","1099499","1092969","1086067","1080332","1078792","1077089","1072482","1066844","1059487","1051356","1043595","1036736","1031366","1026221","1022520","1016883","1037112","",
"American Samoa","ASM","Rural population","SP.RUR.TOTL","12557","12781","12931","12983","12957","12868","12724","12557","12414","12325","12271","12203","12132","12065","12005","11978","11967","11939","11887","11799","11768","11835","11911","11955","11965","11944","11890","11802","11684","11535","11308","10923","10386","9754","9068","8373","7715","7147","6720","6489","6477","6531","6600","6690","6798","6919","7048","7181","7313","7439","7556","7670","7783","7893","8001","8107","8210","8311","8411","8508","8646","8756","8801","8852","8911","",
"Antigua and Barbuda","ATG","Rural population","SP.RUR.TOTL","33603","34302","35074","35972","37006","38130","39248","40333","41356","42270","42803","42925","42824","42606","42370","42167","42051","42045","42083","42157","42231","42246","42241","42258","42147","41887","41619","41351","41097","40871","40684","40885","41588","42473","43473","44592","45815","47092","48349","49556","50766","51913","52976","54051","55178","56385","57684","59056","60477","61883","63122","64149","65047","65830","66494","67057","67545","67987","68396","68789","69215","69654","70084","70500","70900","",
"Australia","AUS","Rural population","SP.RUR.TOTL","1891497","1893218","1909421","1920718","1934341","1945548","1956559","1930453","1897249","1866039","1841967","1868371","1884752","1897843","1933713","1949246","1965852","1990888","2021392","2053360","2089630","2132949","2181968","2226324","2267181","2308258","2346169","2381337","2418698","2457662","2492329","2523469","2553496","2580664","2612049","2649082","2689867","2727464","2762241","2798414","2833929","2862658","2868874","2877313","2886504","2901614","2914415","2937350","2969494","3009106","3036006","3054575","3081493","3105171","3117071","3125167","3140795","3165535","3188615","3217025","3264804","3278655","3295446","3336037","3371821","",
"Austria","AUT","Rural population","SP.RUR.TOTL","3530778","3542199","3555041","3567667","3580031","3590743","3602339","3614709","3618015","3614280","3610027","3608711","3611794","3613209","3599752","3569401","3540751","3517851","3488540","3453635","3421806","3394817","3347970","3275441","3195374","3108963","3019695","2931767","2852168","2791930","2755515","2745157","2748169","2744796","2731177","2713309","2697237","2683039","2671373","2664760","2662322","2666759","2676037","2686050","2700356","2716846","2728594","2735760","2742469","2747407","2751163","2756787","2764313","2773061","2784793","2803897","2820039","2823568","2819713","2813371","2805155","2796573","2803147","2810159","2802422","",
"Azerbaijan","AZE","Rural population","SP.RUR.TOTL","2021400","2063554","2125370","2167387","2240556","2303505","2373964","2421412","2473086","2532711","2575858","2622474","2657906","2678300","2706400","2731776","2751600","2779377","2811877","2870421","2886000","2929076","2976076","3026400","3079074","3120237","3154314","3195873","3226961","3246443","3322400","3399953","3475576","3545100","3608276","3664776","3716800","3768076","3840400","3911687","3933183","3961633","3986733","3974946","3963596","3985889","4017094","4047957","4113250","4193053","4229746","4264699","4293942","4314580","4325882","4327049","4317102","4293088","4255797","4197085","4209491","4220751","4215088","4213127","4226645","",
"Burundi","BDI","Rural population","SP.RUR.TOTL","2713435","2780544","2849381","2907325","2988496","3069258","3140639","3217684","3291426","3359475","3428777","3508417","3503398","3493428","3576763","3661081","3738255","3829418","3935325","4027771","4193302","4359900","4461723","4574010","4676819","4769140","4849326","4950709","5050761","5139838","5236918","5335227","5468893","5289293","5313927","5631465","5625156","5614452","5712040","5839244","5949744","6087622","6247419","6432080","6658651","6890738","7121102","7364223","7646020","8008323","8346506","8594418","8839899","9085662","9311145","9426954","9484063","9593863","9762456","9953027","10102335","10228353","10347796","10465109","10559681","",
"Belgium","BEL","Rural population","SP.RUR.TOTL","3124265","3101913","3080609","3064438","3048621","3027274","2996050","2960055","2919687","2878261","2835415","2799469","2770438","2738978","2707442","2675159","2639931","2603321","2566045","2528827","2492276","2453113","2413615","2374861","2336544","2299240","2262351","2226858","2196740","2167736","2137462","2108908","2081211","2053347","2023982","1992880","1961807","1931966","1901901","1872479","1843661","1817052","1792638","1767994","1743923","1722208","1702663","1684659","1667860","1651585","1637396","1629804","1611445","1591159","1570968","1553439","1535319","1515948","1498276","1482519","1465807","1456320","1461288","1466427","1468967","",
"Benin","BEN","Rural population","SP.RUR.TOTL","2270853","2296916","2323310","2349265","2374876","2400211","2425014","2449259","2473302","2497375","2521755","2546605","2572257","2599000","2627064","2657055","2689540","2724976","2763620","2806618","2853578","2902767","2953536","3005274","3058551","3114112","3172344","3233864","3299182","3368560","3442581","3521945","3607231","3747847","3869615","3932922","4018767","4120964","4231237","4344079","4457476","4570209","4681741","4793978","4907485","5029584","5147462","5257253","5370693","5483272","5595178","5706772","5817748","5927309","6034730","6141500","6245541","6345653","6439925","6527228","6607473","6680394","6747288","6809168","6863208","",
"Burkina Faso","BFA","Rural population","SP.RUR.TOTL","4537983","4600158","4663905","4729840","4798858","4871821","4947690","5026464","5108661","5192717","5278959","5365467","5453148","5545664","5645645","5755148","5869919","5988593","6111093","6235359","6363094","6493320","6627022","6769259","6921452","7083291","7250494","7419795","7592053","7767791","7947151","8122934","8296226","8473279","8654516","8839666","9023543","9205071","9392351","9585960","9778906","9976269","10179583","10392328","10619625","10864551","11132029","11412383","11693288","11979674","12275521","12585023","12913527","13252779","13602566","13966426","14342304","14726439","15107324","15486957","15817372","16098004","16368767","16627547","16876175","",
