"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Population ages 0-14 (% of total population)","SP.POP.0014.TO.ZS","42.5121080805506","42.1754815261297","41.8670099431818","41.4322430111488","40.8467692948507","40.1770063584808","39.4841083917573","38.9622057788966","38.6273796121518","38.2849014427962","37.8995937269404","37.4299299937905","36.607211077247","35.4821613345559","34.3526496124547","33.2415210688592","32.1098072497593","31.0261579229731","30.1033717331778","29.332267028564","28.7270910233885","28.3276587543764","27.9256847347251","27.4706203989128","27.0539392936765","26.5552963722187","25.9472033825043","25.2870300277567","24.7470472363081","24.6805489824894","25.3953719367405","26.8119862344649","27.5359898945168","27.3027866303652","27.0059081379836","26.3560683895782","25.4841874569965","24.7859296110669","24.2274132518472","23.7708377904859","23.4471026289551","23.1659376557223","22.8248439184272","22.4569385765356","22.0764382459434","21.7605858007004","21.560395209267","21.4226552227525","21.2934987653942","21.1480881187169","20.8013904218712","20.2424218417326","19.7443091088652","19.3954610828072","19.1695083315195","19.0345012933786","18.9447161983873","18.8483928478537","18.7157058027661","18.5363666928163","18.2545705094483","17.9005745737184","17.5446735076358","17.1852490075367","16.8448764869454","",
"Africa Eastern and Southern","AFE","Population ages 0-14 (% of total population)","SP.POP.0014.TO.ZS","43.9922447853637","44.098692399061","44.2061200195382","44.3327927788709","44.460765390151","44.6012266522024","44.7567527335951","44.9011423499775","45.0315500370224","45.1525564322774","45.2797298346223","45.4164356135535","45.5532894267334","45.6698919444424","45.7404412084287","45.7812639496345","45.830750371547","45.8691841839522","45.8631906983585","45.8558595366547","45.839499968816","45.8120216546462","45.7812629804892","45.7097874217394","45.6176636976819","45.5311309369511","45.4566843395965","45.3912372204882","45.3290244837756","45.2758367335296","45.2221462480327","45.1608195838455","45.148388320097","45.1218719294294","45.0374935795639","45.0237175208672","45.136961636161","45.2082187135723","45.1200529270734","44.9769244241346","44.8366274033551","44.6906949633936","44.5502929168905","44.4233457683668","44.3087723922456","44.2116638816274","44.1245282695993","44.0337984451356","43.9353014651637","43.8317919110391","43.7004762121342","43.5308898341773","43.3482534252719","43.1559550188787","42.9534644221156","42.7233815091694","42.4979802213119","42.2500793269185","41.9546758302857","41.666632698703","41.3817331495154","41.1058662123151","40.8389553211614","40.5689926144967","40.3019379766906","",
"Afghanistan","AFG","Population ages 0-14 (% of total population)","SP.POP.0014.TO.ZS","41.9467543238724","42.0285881948318","42.1128139299813","42.2359518004449","42.4095387983149","42.6422367019717","42.9102864247869","43.1724224318789","43.4292236863493","43.6819809448846","43.9262709832108","44.1603244560755","44.3879908848683","44.6099459043406","44.828404780399","45.0409559953011","45.2460024237642","45.4464744934067","45.6448512688701","45.8463094209124","46.0564282346879","46.266479783467","46.4710839714547","46.6476817785558","46.820695193567","47.0002324349698","47.160217488968","47.2958582892764","47.421250409388","47.5389730983971","47.6732698747931","47.8412524545753","48.0389617465537","48.2471626506072","48.4838695117337","48.7431804906358","49.0096387680058","49.2884207733308","49.5648968184778","49.8183244091367","50.0249300470877","50.1686895194398","50.2378974724481","50.2402911285679","50.1769146598586","50.0495665421968","49.8559368554896","49.5860532125","49.2514090938579","48.8782053353369","48.4673299618618","48.0397975201334","47.6053053475006","47.161386009242","46.7130662681856","46.2593370280565","45.801448689147","45.3646045386981","44.9596071789272","44.5768321059625","44.2241042439322","43.90812524631","43.5798414355935","43.2262038611198","42.8875055536677","",
"Africa Western and Central","AFW","Population ages 0-14 (% of total population)","SP.POP.0014.TO.ZS","41.506894454993","41.6050961181081","41.7233285797139","41.8891478563443","42.0943271862316","42.2790527553417","42.4391965202319","42.6018526054308","42.7673852261108","42.9369667903684","43.1024962464527","43.2743154823411","43.4529868829673","43.6255135646177","43.8011081190954","43.9845131182926","44.1797773865021","44.3747241972695","44.5639761594645","44.7429063094807","44.9171772970931","45.0830713188726","45.2169331138607","45.346063375807","45.4850101616949","45.6013996098755","45.6813833183506","45.7273072053189","45.7363038575381","45.7113903288381","45.6596337997615","45.5815070531482","45.471514202167","45.3382554536637","45.199333756456","45.0602251830553","44.932227462633","44.8139231865635","44.6775411274644","44.5513755166495","44.467746800595","44.4206771445523","44.3854145257571","44.3494393194568","44.3214394217304","44.3128012408321","44.3268454999052","44.3452916751677","44.3297440300838","44.2878798984388","44.2544852529204","44.2207596640689","44.1909213002951","44.152106153296","44.1009945008649","44.027036068018","43.8915216631381","43.7002709327505","43.4670694818547","43.1925596083777","42.8696578039653","42.5112354003656","42.1309753627365","41.7189552341143","41.2951130365132","",
"Angola","AGO","Population ages 0-14 (% of total population)","SP.POP.0014.TO.ZS","41.2698450623837","41.6412945302097","42.0557123192076","42.5288074670138","43.0921837045474","43.6724429149611","44.2116219688423","44.7044625950516","45.1379561556768","45.513052847267","45.9379273604306","46.2633168321955","46.2588041891643","46.0711998131651","45.8567927653191","45.6486617278098","45.4559647316138","45.2485193867936","45.0330607510479","44.846440268493","44.6779863684839","44.5428171321874","44.4448265946696","44.3635832172967","44.3195370636333","44.3452910049826","44.4576157709548","44.6361364687985","44.8276038272062","45.0101222914462","45.181731220336","45.3597336256158","45.5248219885964","45.6742033850195","45.8040631590094","45.8662614824853","45.8693379770041","45.8333590545286","45.7703024597988","45.701307400486","45.6185056396105","45.525249508015","45.4313597716766","45.3374446714258","45.2520891594777","45.1862188384156","45.1406198234859","45.1122542818953","45.108712753413","45.1244934507146","45.140169544094","45.1495594157183","45.1630895556546","45.1839857033772","45.2258854448141","45.2743037648043","45.2826022073757","45.2508263728476","45.1972407715653","45.1127665227853","45.019550533902","44.9092503744813","44.7578771438631","44.5722650283786","44.3509627519372","",
"Albania","ALB","Population ages 0-14 (% of total population)","SP.POP.0014.TO.ZS","41.1750547324551","41.7226844628575","42.0298004338967","42.1906061849454","42.2534737052467","42.2860384139466","42.3135215632259","42.3204293906883","42.2706481551748","42.113875991772","41.8455593304571","41.4970389155755","41.074571734908","40.5806907113802","40.0225097847338","39.3972321831926","38.7116522875192","37.9899357106553","37.3141493571834","36.7463897848294","36.2623637501572","35.8303591618875","35.4123904622823","34.9819457304837","34.5582972844809","34.1833921714443","33.822108190949","33.4303108908253","33.1342620215449","32.9374533316505","32.6946954300319","32.4170684693014","32.1576901271317","31.9030808391358","31.6347646264562","31.3769365491027","31.1232814838687","30.8197350216021","30.4544282829447","30.0490294237698","29.6167029489308","29.0369887515453","28.2843164782655","27.4974483557629","26.6979328951328","25.8703792619302","25.0285784899314","24.1921381778413","23.363673162474","22.53029271349","21.6960540631808","20.9264009254324","20.2920855091608","19.794192578173","19.3865379916553","18.9935976695213","18.6062746506784","18.2833562063906","18.0052663384505","17.7442916565786","17.5219758955011","17.3674317294264","17.2224721389952","17.0419734995937","16.8407829528601","",
"Andorra","AND","Population ages 0-14 (% of total population)","SP.POP.0014.TO.ZS","27.018927444795","27.4349623146122","27.8324012267725","28.1955518254301","28.5344928898813","28.773654100044","29.1877478463011","29.8604533686936","30.3126455519329","30.3934249528429","30.1904738067229","29.7693724786046","29.1893540096702","28.5242425478123","27.8095639028684","27.0707688984104","26.3644239099047","25.6809338521401","24.9992362914312","24.2698070308401","23.3766052289591","22.3226656981046","21.7918456319571","21.656867457999","21.2523360064344","20.5045123161702","19.8996381287649","19.483558222987","18.8147563542173","18.3289048686771","17.825161130863","17.056513874796","16.4885090407728","16.0497534454419","15.7446314567615","15.6692014019277","15.5648287071768","15.3911544911475","15.2558445431812","15.2778517565953","15.3505366522037","15.2812367126283","15.1775779628906","15.0168020666182","14.8637739656912","14.94694557643","14.9600115598947","14.7397026045006","14.5410775560067","14.4698884226588","14.9679082100463","15.4943882339329","15.5191712002499","15.5445616974871","15.4739140458657","15.3186418837939","15.093895250168","14.7541094729707","14.2199515712727","13.716516178807","13.4001033858878","13.0405099312818","12.6560441628505","12.2476996141288","11.8852784134249","",
"Arab World","ARB","Population ages 0-14 (% of total population)","SP.POP.0014.TO.ZS","43.4211539577923","43.6488395613913","43.8427958437718","44.0385677684094","44.2172929027918","44.3725872699487","44.5080935378637","44.6110520433101","44.6641653730143","44.6839660268168","44.7019925611158","44.7230221072171","44.7491064865404","44.7853209174943","44.7940315831379","44.8076060385531","44.8504054767411","44.8189482371049","44.7041602201724","44.5846555976815","44.4685959850216","44.3558013058687","44.2400312383786","44.110991769292","43.9800602789376","43.8434237591493","43.6988697542893","43.5370213594606","43.3528624104501","43.1473300419269","42.9252584950516","42.5987183491663","42.2667290647784","41.9281219202022","41.5691563257927","41.1775690554888","40.7582716762998","40.3089213713525","39.8219544935651","39.3128886690132","38.8151536432928","38.3257614118962","37.8316382542693","37.3400313744035","36.8592550349185","36.4000945621417","35.9252784341657","35.4386670356256","35.0616178549589","34.794921903613","34.6244636440855","34.463513845809","34.3440463413337","34.3130687336581","34.3208552972187","34.270022656047","34.1848477624298","34.1136940532848","34.0423377475941","33.8930319898821","33.6966867760748","33.5163398284797","33.1553463665908","32.7301856548789","32.3325099091731","",
"United Arab Emirates","ARE","Population ages 0-14 (% of total population)","SP.POP.0014.TO.ZS","37.7722532921662","36.7373486292386","35.8298952713424","35.0947040621243","34.4995366079703","33.9193972597821","33.1990240061158","32.1452420701169","31.2049464560177","30.5574563965618","29.7792071139527","28.9706501267062","28.2779694737977","27.7531888858463","27.395256258351","27.161229533035","26.9287474872781","26.7939437545849","26.8886681148783","27.1421217189934","27.4163630993404","27.9960085647654","28.8197141558854","29.537187359726","30.1849699386522","30.7494349237959","31.152398521722","31.1960852320225","30.8526698965625","30.2773052833184","29.5807387973997","28.8395119069303","28.1016725539431","27.3850762805436","26.6762606799794","25.9402278549902","25.1772044885131","24.2643286323838","23.14475147607","21.9766846937654","20.8369190818976","19.7885884605195","18.9088425925224","18.2594359345844","17.8278704718279","17.4833593795219","17.2037491764988","16.994055347063","16.8605674631737","16.8659865473058","16.8739874232582","16.8194092207522","16.8004347270221","16.8283164877966","16.8423411088757","16.8311616180189","16.8110159449701","16.7637609107843","16.7091550433461","16.6494070201078","16.5795684066633","16.5083622023306","16.4756028959529","16.3389425432864","16.1109795668483","",
"Argentina","ARG","Population ages 0-14 (% of total population)","SP.POP.0014.TO.ZS","31.2161628211848","31.1030283491352","30.9596942959672","30.7994811804196","30.6354015731263","30.4523733823696","30.2381135030374","30.0258949283828","29.8415119826572","29.6979383514477","29.5906451067531","29.5212272574816","29.4953893650498","29.5175318379119","29.5743582022485","29.6516720431806","29.7692936340424","29.9237579631789","30.0949694103759","30.2744814400432","30.4628691906225","30.6465010717589","30.7994432286543","30.9025991064304","30.9571516922242","30.9657357460906","30.928471652909","30.8538287306069","30.7474273873074","30.6055294687965","30.4383155267199","30.2532517467345","30.0386164672132","29.8069042326399","29.5720196270867","29.334445774482","29.0914748122156","28.8427997030082","28.6028236437828","28.3795522407287","28.1666120456224","27.9469003783154","27.7131775250741","27.4656400866515","27.2062216334946","26.9387273529874","26.6642896271438","26.3935191359681","26.1420104636466","25.902064066793","25.680586139157","25.4937170237217","25.3153574386188","25.1502863661773","25.0138297580693","24.887393365487","24.7475897865741","24.5791315086803","24.3732916411389","24.0972913239252","23.6990914612707","23.2387470933239","22.7507462136988","22.190657287242","21.6039426858612","",
