year,population_growth,birth_rate,death_rate,fertility_rate,life_expectancy,urban_population,gdp_growth,prev_population,population_ma3,population_change,population_lag_1,population_lag_2,birth_rate_lag_1,birth_rate_lag_2,death_rate_lag_1,death_rate_lag_2,fertility_rate_lag_1,fertility_rate_lag_2,gdp_growth_lag_1,gdp_growth_lag_2
1977,1.0311789481038942,0.8596807003654926,0.8588150516057774,0.8480662267880115,-0.900413943054508,-0.7905258601823277,0.6962684946089336,-0.9304090799896222,-0.9306332638448821,-0.6883122350890463,-0.9304090799896222,-0.9306135768462155,0.9048208771738465,0.8695858686544496,0.8801985805804168,0.8981900691040418,0.8928242773393096,0.8891128863961139,-1.1551866906635024,1.3470602658238104
1978,0.8703387231236207,0.7994777885854147,0.7562906953685212,0.7399082439276414,-0.8140518165995059,-0.6832937554257429,0.18560769929023524,-0.872156050068777,-0.8732467677282433,-0.5551272194264045,-0.872156050068777,-0.8733770092453518,0.8044550804355812,0.8519034999161911,0.7859599531705473,0.808516160713871,0.781190099708265,0.8299386564697323,0.7019125514464595,-1.1515331323791873
1979,0.9354363396298937,0.777955974712343,0.6603722899197481,0.6671969949458798,-0.7282673632311589,-0.5846007049860181,-3.440370050194377,-0.8139501787106855,-0.8149960824692283,-0.5592907142759258,-0.8139501787106855,-0.8146188160359691,0.7434397502598953,0.7498552532148877,0.6849528055599692,0.7155019634724905,0.67318630183758,0.717962805993657,0.1897071744102238,0.7145874397980023
1980,1.105247245333282,0.7860993637453976,0.5774015480164015,0.6372036047409037,-0.6446491839377704,-0.4982857975416695,0.5244371557473005,-0.7537931110954834,-0.7555976990762213,-0.38702516815870713,-0.7537931110954834,-0.75590819034274,0.7216275066222101,0.687817112048456,0.5904538504500726,0.6158071885286904,0.6005787066303966,0.6096284465899748,-3.4472379706359684,0.1998938953748677
1981,1.004829982737761,0.7430557359992552,0.4907314736715042,0.5672190275959582,-0.5608865863727183,-0.42730387385765795,0.28284760372559115,-0.6906305917002159,-0.694548186740053,-0.1216824122287413,-0.6906305917002159,-0.6952294478524876,0.729880787998632,0.665639225834369,0.5087109526415118,0.5225360459910632,0.570628073607434,0.5367986251421211,0.5295614790416631,-3.454718632138502
1982,0.9597275208743952,0.6909962132522308,0.40326868523198933,0.4963255598387405,-0.4797235176976161,-0.36545752195454817,-0.555036451317476,-0.6269067746670519,-0.631642913258378,-0.07212704650160082,-0.6269067746670519,-0.6315191906648102,0.6862563007232626,0.6740308584559159,0.423323467032569,0.4418552229695343,0.5007432632205201,0.5067563237948819,0.28724119772054096,0.5413991283936154
1983,0.9789688572052255,0.6505701034095701,0.3187125151394068,0.4463365761637797,-0.40058230482580776,-0.3086603090714013,0.7075689909508363,-0.5621106481878677,-0.5671774603732727,0.022544092627607683,-0.5621106481878677,-0.5672427683334432,0.6334942519239974,0.6296750860277428,0.3371549983235449,0.3575771658005483,0.42995085789351606,0.4366576206513227,-0.5531771822691436,0.2979017149137953
1984,0.9939594681879697,0.620323229858227,0.23891262961453222,0.40180093616245044,-0.3240406208439494,-0.2560786810199401,-0.4407992452365463,-0.49559107393633905,-0.5015829836933648,0.17470237533520272,-0.49559107393633905,-0.5018847376171542,0.5925226050910493,0.5760285774828571,0.25385013431482045,0.2725282727428221,0.38003313618857776,0.36564854473966507,0.7132472280900591,-0.5465992102778557
1985,0.9399393448702119,0.5480506521898728,0.15779155393196082,0.3254541247316012,-0.25024288402370565,-0.20668836794710976,0.03387859246404762,-0.42734191045915537,-0.4344665706633575,0.32740286941934776,-0.42734191045915537,-0.4347883135961513,0.5618675599786277,0.5343701155401811,0.17523116890658696,0.19030577794381168,0.3355609841241777,0.31557804249426585,-0.4385944460406233,0.7259771775050543
1986,0.8861750995921,0.5189671199289653,0.08248371494325454,0.2954607345266242,-0.1787558395500827,-0.1594650999998826,-0.12430803836221671,-0.3580415797326814,-0.365835331695265,0.42020742436845837,-0.3580415797326814,-0.3659473015591774,0.4886196877628891,0.503201194374438,0.09531056499821695,0.11270829847724574,0.2593230091566355,0.2709697768574551,0.0375191367113896,-0.4314598593784097
