Year,Population,Source_Type,Data_Status,Source,Population_Change,Growth_Rate,Source_File,Population_Growth_Rate,Previous_Population
1989,846039529.0,Historical,Official,Official WDI dataset,18696539.0,2.259829263797841,Population analytics,2.259829263797841,827342990.0
1990,864972221.0,Historical,Official,Official WDI dataset,18932692.0,2.237802295405511,Population analytics,2.237802295405511,846039529.0
1991,883927600.0,Historical,Official,Official WDI dataset,18955379.0,2.1914436718078134,Population analytics,2.1914436718078134,864972221.0
1992,902957070.0,Historical,Official,Official WDI dataset,19029470.0,2.152831295232782,Population analytics,2.152831295232782,883927600.0
1993,922118387.0,Historical,Official,Official WDI dataset,19161317.0,2.122062901617228,Population analytics,2.1220629016172277,902957070.0
1994,941163767.0,Historical,Official,Official WDI dataset,19045380.0,2.0653942344607046,Population analytics,2.0653942344607046,922118387.0
1995,960301044.0,Historical,Official,Official WDI dataset,19137277.0,2.0333631266958863,Population analytics,2.0333631266958863,941163767.0
1996,979678458.0,Historical,Official,Official WDI dataset,19377414.0,2.0178478531363453,Population analytics,2.0178478531363453,960301044.0
1997,999133762.0,Historical,Official,Official WDI dataset,19455304.0,1.9858866795660512,Population analytics,1.9858866795660512,979678458.0
1998,1018665080.0,Historical,Official,Official WDI dataset,19531318.0,1.9548251438229247,Population analytics,1.9548251438229247,999133762.0
1999,1038225823.0,Historical,Official,Official WDI dataset,19560743.0,1.92023299748334,Population analytics,1.9202329974833399,1018665080.0
2000,1057922733.0,Historical,Official,Official WDI dataset,19696910.0,1.897170111131019,Population analytics,1.897170111131019,1038225823.0
2001,1077898575.0,Historical,Official,Official WDI dataset,19975842.0,1.8882137018980227,Population analytics,1.8882137018980227,1057922733.0
2002,1097600380.0,Historical,Official,Official WDI dataset,19701805.0,1.827797666399178,Population analytics,1.827797666399178,1077898575.0
2003,1116803006.0,Historical,Official,Official WDI dataset,19202626.0,1.749509780599756,Population analytics,1.7495097805997561,1097600380.0
2004,1135991513.0,Historical,Official,Official WDI dataset,19188507.0,1.718163982090859,Population analytics,1.718163982090859,1116803006.0
2005,1154676322.0,Historical,Official,Official WDI dataset,18684809.0,1.644801812881158,Population analytics,1.6448018128811581,1135991513.0
2006,1172878890.0,Historical,Official,Official WDI dataset,18202568.0,1.576421690926466,Population analytics,1.5764216909264661,1154676322.0
2007,1190676021.0,Historical,Official,Official WDI dataset,17797131.0,1.5173886367756184,Population analytics,1.5173886367756184,1172878890.0
2008,1207930964.0,Historical,Official,Official WDI dataset,17254943.0,1.449171957415274,Population analytics,1.449171957415274,1190676021.0
2009,1225524753.0,Historical,Official,Official WDI dataset,17593789.0,1.4565227255818547,Population analytics,1.4565227255818547,1207930964.0
2010,1243481564.0,Historical,Official,Official WDI dataset,17956811.0,1.465234460262255,Population analytics,1.4652344602622547,1225524753.0
2011,1261224954.0,Historical,Official,Official WDI dataset,17743390.0,1.4269121886233194,Population analytics,1.4269121886233194,1243481564.0
2012,1278674502.0,Historical,Official,Official WDI dataset,17449548.0,1.383539704369019,Population analytics,1.383539704369019,1261224954.0
2013,1295829511.0,Historical,Official,Official WDI dataset,17155009.0,1.3416243909742054,Population analytics,1.3416243909742054,1278674502.0
2014,1312277191.0,Historical,Official,Official WDI dataset,16447680.0,1.269278084839054,Population analytics,1.269278084839054,1295829511.0
2015,1328024498.0,Historical,Official,Official WDI dataset,15747307.0,1.1999985298837723,Population analytics,1.1999985298837723,1312277191.0
2016,1343944296.0,Historical,Official,Official WDI dataset,15919798.0,1.1987578560467282,Population analytics,1.1987578560467282,1328024498.0
2017,1359657400.0,Historical,Official,Official WDI dataset,15713104.0,1.169178220166356,Population analytics,1.1691782201663559,1343944296.0
2018,1374659064.0,Historical,Official,Official WDI dataset,15001664.0,1.103341474109576,Population analytics,1.103341474109576,1359657400.0
2019,1389030312.0,Historical,Official,Official WDI dataset,14371248.0,1.0454408934083226,Population analytics,1.0454408934083226,1374659064.0
2020,1402617695.0,Historical,Official,Official WDI dataset,13587383.0,0.9781919719546116,Population analytics,0.9781919719546117,1389030312.0
2021,1414203896.0,Historical,Official,Official WDI dataset,11586201.0,0.8260412685011875,Population analytics,0.8260412685011875,1402617695.0
2022,1425423212.0,Historical,Official,Official WDI dataset,11219316.0,0.7933308649292536,Population analytics,0.7933308649292536,1414203896.0
2023,1438069596.0,Historical,Official,Official WDI dataset,12646384.0,0.887202052943703,Population analytics,0.887202052943703,1425423212.0
2024,1450935791.0,Historical,Official,Official WDI dataset,12866195.0,0.8946851415110535,Population analytics,0.8946851415110535,1438069596.0
2025,1462982757.1525722,Estimated,Model Estimated,Population forecasting model,12046966.152572155,0.8302894054511789,Population analytics,0.8302894054511789,1450935791.0
2026,1474539165.2701452,Forecast,ML Forecast,Population forecasting model,11556408.117573023,0.7899210063190054,Population analytics,0.7899210063190054,1462982757.1525722
2027,1485748771.537257,Forecast,ML Forecast,Population forecasting model,11209606.267111778,0.7602108191584023,Population analytics,0.7602108191584023,1474539165.2701452
2028,1496603153.632913,Forecast,ML Forecast,Population forecasting model,10854382.095656157,0.7305664526597866,Population analytics,0.7305664526597866,1485748771.537257
2029,1507083391.8837166,Forecast,ML Forecast,Population forecasting model,10480238.25080347,0.7002683527268516,Population analytics,0.7002683527268516,1496603153.632913
2030,1517181985.8998127,Forecast,ML Forecast,Population forecasting model,10098594.016096115,0.6700753303023221,Population analytics,0.6700753303023221,1507083391.8837166
2031,1526894281.1174576,Forecast,ML Forecast,Population forecasting model,9712295.21764493,0.6401536076692027,Population analytics,0.6401536076692027,1517181985.8998127
2032,1536215048.899895,Forecast,ML Forecast,Population forecasting model,9320767.782437325,0.6104396288403091,Population analytics,0.6104396288403091,1526894281.1174576
2033,1545138637.9961586,Forecast,ML Forecast,Population forecasting model,8923589.096263647,0.5808815050115435,Population analytics,0.5808815050115435,1536215048.899895
2034,1553659299.4483306,Forecast,ML Forecast,Population forecasting model,8520661.452172041,0.5514496397049706,Population analytics,0.5514496397049706,1545138637.9961586
2035,1561771229.098921,Forecast,ML Forecast,Population forecasting model,8111929.65059042,0.5221176646302617,Population analytics,0.5221176646302617,1553659299.4483306
2036,1569468545.4949172,Forecast,ML Forecast,Population forecasting model,7697316.395996094,0.4928581249660446,Population analytics,0.49285812496604464,1561771229.098921
2037,1576745281.203604,Forecast,ML Forecast,Population forecasting model,7276735.708686829,0.4636432969347792,Population analytics,0.46364329693477924,1569468545.4949172
2038,1583595382.1157002,Forecast,ML Forecast,Population forecasting model,6850100.912096262,0.4344456263009943,Population analytics,0.43444562630099437,1576745281.203604
2039,1590012706.9552872,Forecast,ML Forecast,Population forecasting model,6417324.839586973,0.4052376580571559,Population analytics,0.40523765805715595,1583595382.1157002
2040,1595991026.1102622,Forecast,ML Forecast,Population forecasting model,5978319.154974937,0.3759919105566611,Population analytics,0.37599191055666115,1590012706.9552872
2041,1601524020.3093412,Forecast,ML Forecast,Population forecasting model,5532994.199079037,0.3466807838239605,Population analytics,0.3466807838239605,1595991026.1102622
2042,1606605279.3150015,Forecast,ML Forecast,Population forecasting model,5081259.0056602955,0.3172764779811876,Population analytics,0.31727647798118763,1601524020.3093412
2043,1611228300.615692,Forecast,ML Forecast,Population forecasting model,4623021.3006904125,0.2877509093373254,Population analytics,0.2877509093373254,1606605279.3150015
2044,1615386488.0993178,Forecast,ML Forecast,Population forecasting model,4158187.483625889,0.2580756235498693,Population analytics,0.25807562354986935,1611228300.615692
2045,1619073150.7060657,Forecast,ML Forecast,Population forecasting model,3686662.6067478657,0.2282217063165781,Population analytics,0.22822170631657812,1615386488.0993178
2046,1622281501.061553,Forecast,ML Forecast,Population forecasting model,3208350.3554873466,0.1981596911843075,Population analytics,0.19815969118430754,1619073150.7060657
2047,1625004654.0903904,Forecast,ML Forecast,Population forecasting model,2723153.0288374424,0.1678594637894548,Population analytics,0.16785946378945482,1622281501.061553
2048,1627235625.6098282,Forecast,ML Forecast,Population forecasting model,2230971.51943779,0.137290161835657,Population analytics,0.137290161835657,1625004654.0903904
2049,1628967330.9031558,Forecast,ML Forecast,Population forecasting model,1731705.29332757,0.106420070091473,Population analytics,0.10642007009147303,1627235625.6098282
2050,1630192583.2725654,Forecast,ML Forecast,Population forecasting model,1225252.3694095612,0.0752165096356005,Population analytics,0.07521650963560056,1628967330.9031558
